id,name,age,income,company,gender
78,Brnaby,44,43779.21,"Nienow, Gleason and Hoppe",0
79,Gannie,64,,"West, Beatty and Miller",0
80,Katusha,41,42359.61,Terry-Little,1
81,Olivette,41,19133.93,Ortiz-Dibbert,
82,Ashley,37,,Gutkowski Inc,
83,Tanya,32,,Krajcik Group,1
84,Claybourne,68,47522.72,Howe Group,0
85,Isidro,42,,Terry-Daugherty,0
86,Hermie,,14070.08,Cummerata-Medhurst,0
87,Kira,31,25370,"Kirlin, Heller and Waelchi",1
88,Aeriela,35,,Halvorson-Pagac,1
89,Shaughn,46,44507.09,Kovacek-Kerluke,
90,Violetta,,39196.32,Hane-Crona,1
91,Regan,64,21132.31,Bartell and Sons,0
92,Lolita,64,,Klocko-Kreiger,1
93,Jeffie,49,,"Kihn, Bogan and Maggio",0
94,Heather,66,23885.96,"Torphy, Blick and Jacobi",1
95,Bank,,30587.16,Bayer-Bernhard,0
96,Gracia,,,"Murazik, Borer and Farrell",1
97,Valentijn,39,,"Muller, Carroll and Shanahan",0
98,Dennet,,,"Kuvalis, Ziemann and Barrows",0
99,Lazar,43,,Kreiger-Daniel,0
100,Jan,62,17094.23,Frami LLC,0
101,Wallis,,,Turner Inc,
102,Barb,,20329.22,Cronin-Kemmer,1
103,Harley,63,,Gleason Group,0
104,Clayton,,15637.6,Jenkins LLC,0
105,Eduino,50,31567,Kassulke Group,0
106,Olivia,38,14110.11,Schimmel Group,
107,Shannon,61,,Bergnaum-Renner,0
108,Wade,60,13289.32,"Kshlerin, Cole and Green",0
109,Laurette,34,44653.2,Brakus-Davis,1
110,Danny,25,,Cummings-Wisoky,1
111,Edvard,,,"Hahn, Sanford and Lakin",0
112,Penrod,22,,"O'Connell, Legros and Nitzsche",0
113,Clo,,,Wiza LLC,1
114,Marcelia,,20860.73,"Okuneva, Lang and McClure",1
115,Arnuad,,27691.53,"Torphy, Yost and Wolf",0
116,Ottilie,47,48838.37,Heathcote-Leffler,1
117,Catarina,22,18466.63,Schmidt-Bruen,1
118,Louella,,38190.95,Mayer-Barton,1
119,Thorn,44,37106.47,"Raynor, Bartell and Hyatt",0
120,Robbin,,41173.92,Hane-Blick,
121,Uri,21,,Wyman Group,0
122,Care,46,,"Hickle, Grant and Jacobi",0
123,Edgard,,46601.67,Terry Group,
124,Demetra,,41149.77,Gorczany Inc,1
125,Maura,28,26804.1,Koelpin LLC,
126,Chelsy,42,43917.28,Bins-Jakubowski,1
127,Berke,56,39207.54,"Gutkowski, Hoeger and McLaughlin",0
128,Fiann,43,,Wilderman Inc,1
129,Gibb,,43036.51,Predovic Inc,0
130,Gregorius,,29262.91,Ryan-Konopelski,
131,Horatio,31,,"Ratke, Rogahn and Leffler",0
132,Adina,53,30647.71,"Gibson, Wilderman and Waters",1
133,Rayner,28,40085.69,"Monahan, Mertz and Gusikowski",0
134,Daile,70,20780.45,"Kovacek, Walsh and Fahey",1
135,Elinore,53,,Torphy and Sons,
136,Terrie,69,12539.02,"Prohaska, Maggio and Dare",1
137,Arch,24,21895.24,Miller-Koepp,0
138,Gabe,38,,Cronin-Sanford,0
139,Clem,23,37289.28,Reichert-Glover,0
140,Dionne,,34893.02,Beahan-Runolfsdottir,
141,Mortimer,,24367.97,Koch-Buckridge,
142,Latrina,,48571.57,Leffler-Glover,1
143,Ailina,,20550.92,Berge LLC,
144,Yul,22,16477.01,Flatley Inc,
145,Jocko,44,,Rolfson and Sons,
146,Joannes,,49713.54,Wehner Inc,1
147,Hendrik,24,,"Cole, Rolfson and Davis",0
148,Saleem,22,42615.66,"Williamson, Harris and Reilly",0
149,Ninnetta,30,49917.01,Labadie-Pouros,1
150,Allianora,58,15470.91,"Schneider, Fahey and Sporer",1
151,Sephira,40,,Ruecker Inc,
152,Barney,30,,Mitchell-Wuckert,0
153,Myrtie,30,,"Considine, Wolff and Hahn",
154,Edna,33,,Boyle and Sons,1
155,Carma,47,10458.33,Walsh-Halvorson,
156,Deny,38,17610.88,"Blick, Ernser and Bergnaum",
157,Gwenneth,53,23156.64,Feest Inc,1
158,Silvie,50,23147.11,"Lemke, Goodwin and Auer",
159,Wesley,36,26225.72,Stokes Group,0
160,Aura,44,,"Beer, McClure and Kutch",1
161,Alyda,,,Cassin-Heaney,1
162,Salim,22,37063.4,Medhurst-Murazik,
163,Theresita,48,46146.14,"Dare, Schmidt and McLaughlin",1
164,Darryl,48,,Roob-Murphy,1
165,Megan,44,,Kris Group,
166,Krista,53,,Goldner-Sawayn,
167,Hyacinth,51,31806.73,Kautzer Group,
168,Inness,60,40463.05,Schmidt LLC,0
169,Garret,,46905.34,Terry Inc,0
170,Elita,,,Wolff-Kutch,1
171,Andros,,28414.96,"Cremin, McDermott and Stiedemann",0
172,Mersey,,35247.95,Wisoky Inc,1
173,Mikol,,44444.51,"Koss, Mante and Schinner",0
174,Tann,,26433.25,"Schneider, Gorczany and Veum",
175,Codi,31,,Franecki-Ziemann,0
176,Morris,,,Little-Pfannerstill,0
177,Alicea,,10421.72,Howell-Kuhn,1
178,Christophorus,36,,"Howe, Wisozk and Bartell",0
179,Wain,,36161.94,"Price, Langosh and Schimmel",0
180,Bill,35,43275.94,"Gleichner, Hand and Davis",1
181,Normie,28,19290.42,"Hodkiewicz, Lockman and Barton",0
182,Vance,42,,"Fay, Witting and Ratke",0
183,Janetta,41,35374.45,Wunsch Group,1
184,Derick,63,16947.12,Kilback Inc,0
185,Ami,,20281.58,McKenzie-Franecki,1
186,Horacio,40,38242.31,Rippin-Hand,0
187,Skyler,,17029.69,Schneider-Steuber,0
188,Gustaf,20,42763.99,Predovic Group,0
189,Chaddy,42,27423.6,Upton Inc,0
190,Luciana,26,37586.51,"Beer, Zulauf and Osinski",1
191,Erasmus,,24918.83,Shanahan LLC,0
192,Nanni,32,,"Moore, Russel and Feil",1
193,Cari,,,Block LLC,
194,Cele,,,Littel-Grant,1
195,Chrystel,48,43618.18,Nolan-Barrows,1
196,Misty,70,26205.09,Koepp Inc,1
197,Casey,,14806.51,"Boyer, Metz and Johnson",0
198,Angelico,,,Metz-Moore,
199,Linn,57,18905.47,O'Hara-Cassin,0
200,Milly,40,36221.3,Parisian and Sons,1
201,Ofella,45,,Mante and Sons,
202,Gail,,36551.08,Hegmann-Toy,0
203,Tatiania,23,44190.04,Lakin-Conn,1
204,Ellsworth,,,Bins-Emard,0
205,Tybalt,33,35617.45,Wiegand Group,0
206,Peg,,,Kiehn Inc,1
207,Prinz,38,24251.71,Keebler-Barton,
208,Kile,,38526.5,"Greenholt, Runolfsson and Rippin",0
209,Leighton,55,10400.64,Erdman-Boehm,0
210,Forest,46,,"Williamson, Hoppe and Ebert",0
211,Julius,36,,Lakin LLC,
212,Carleton,22,33926.64,Sawayn Group,0
213,Susan,21,11963.6,Emmerich-Kirlin,1
214,Amberly,,34506.25,Dicki Inc,
215,Mattias,42,24787.2,Roob-Walsh,0
216,Adlai,,,"Doyle, Fisher and Bode",0
217,Baxie,41,26760.93,Dibbert Group,0
218,Garey,29,,Adams-Nikolaus,0
219,Pennie,,26688.37,"Huels, Harvey and Zboncak",0
220,Findley,57,,Lehner Group,0
221,Barbara-anne,53,31353.5,Hand LLC,1
222,Robin,,,Parisian-Powlowski,0
223,Fanni,43,,Hettinger-Rolfson,
224,Kenyon,70,,Murphy-Witting,0
225,Alex,49,36191.39,"Schmeler, Kihn and Runte",1
226,Jarrad,44,,Balistreri and Sons,0
227,Ronalda,53,37169.34,"Hammes, Klocko and Schroeder",
228,Laryssa,33,,Reinger-Flatley,1
229,Thedrick,32,23804.03,Sauer Group,
230,Gena,35,18769.85,"Mosciski, Herman and Ledner",1
231,Bonnee,42,20522.11,Spencer LLC,
232,Meara,47,,Hintz LLC,1
233,Paige,38,,"Klein, Heller and Emmerich",0
234,Augustus,,25591.57,Langosh-Doyle,0
235,Waiter,20,16446.62,Kerluke-Reynolds,0
236,Aime,27,41352.1,Klein LLC,1
237,Midge,,16327.71,"Yundt, Gibson and Nolan",1
238,Aileen,29,18315.76,"Christiansen, Lang and Towne",1
239,Batholomew,,15478.68,Stroman LLC,0
240,Dora,25,,Kris-Considine,
241,Willdon,58,,Howe LLC,0
242,Lucille,,27841.88,Dickinson-Mitchell,1
243,Sandye,,46765.97,"Carroll, Bogan and Altenwerth",1
244,Opal,,14866.38,"Auer, Cronin and Ondricka",1
245,Ivie,68,33755.6,Prohaska Inc,1
246,Solomon,49,11140.85,Waters Group,0
247,Shelagh,,49749.25,Ward and Sons,1
248,Cymbre,47,29321.09,Crona-Stoltenberg,1
249,Millisent,59,12294.42,Davis-Schaden,1
250,Dewie,,,Borer and Sons,0
251,Lisle,,,"Braun, Rogahn and Kreiger",
252,Jyoti,40,11081.19,Gottlieb Inc,
253,Donielle,67,,Pollich LLC,1
254,Riva,68,21196.4,Walker LLC,1
255,Daisy,56,,"Krajcik, Willms and Erdman",1
256,Brietta,29,26068.35,Dooley LLC,1
257,Humfrid,61,14003.57,Zieme-Homenick,0
258,Nedi,44,46454.99,Bahringer Group,1
259,Georgianna,33,,Cremin Inc,1
260,Claudian,48,,Steuber LLC,
261,Langsdon,69,18994.19,"Treutel, Lueilwitz and Douglas",0
262,Westleigh,43,30207.86,"Leuschke, Batz and Gorczany",0
263,Charlene,,,"Sporer, Hartmann and Keeling",1
264,Nikkie,,21527.71,Beier-Ortiz,1
265,Audrie,46,,Blanda LLC,1
266,Artur,49,40425.06,"McDermott, Fisher and Goyette",
267,Townie,21,,Watsica-Langosh,0
268,Jerry,29,29014.19,Ledner-Trantow,0
269,Shepherd,,28599.84,Schmitt LLC,0
270,Archibaldo,,,"Hand, Bode and Russel",0
271,Vinny,,,"Altenwerth, Kiehn and Koch",0
272,Mortie,20,33200.29,Beahan-Jenkins,0
273,Remy,,,Fritsch Group,1
274,Lexie,59,18748.3,Dooley-Pagac,1
275,Tobiah,55,,"Kshlerin, Wilderman and Denesik",
276,Dulcia,,10305.1,Farrell-Mitchell,1
277,Lemar,,,Wilderman-Weimann,
278,Terrance,33,,Collins LLC,0
279,Lawrence,38,44653.97,"Doyle, Abbott and McKenzie",0
280,Cori,,43284.91,Kutch-Lockman,0
281,Waneta,59,,Reilly-Waelchi,
282,Brooke,,36371.31,Koelpin-Purdy,1
283,Eleonore,,37828.76,Kihn and Sons,1
284,Stafford,65,,Gislason Inc,0
285,Doti,64,38062.07,Spencer-Cummings,
286,Sherrie,,25050.12,Jones-Becker,1
287,Quent,,,Trantow Group,0
288,Devonne,,46628.03,"Ritchie, Mayer and Ondricka",1
289,Hanny,44,34172.33,"Beier, Lakin and Marks",1
290,Thedric,,35934.83,Schneider-Littel,0
291,Katuscha,30,27421.33,"Balistreri, Moore and Hammes",1
292,Karil,,,Windler-Feeney,1
293,Sherlock,51,,Wiza and Sons,0
294,Darlleen,34,,Brakus Group,1
295,Lionello,52,36676.21,Breitenberg LLC,0
296,Carma,27,,"Kautzer, Hettinger and Botsford",1
297,Jada,66,,Reynolds-Armstrong,1
298,Hulda,33,16531.46,Willms Group,1
299,Winni,64,,Gleason-Dare,1
300,Corey,,,Brakus Inc,0
301,Galen,47,17286.06,Schroeder Group,0
302,Terrijo,34,,Pollich-Kutch,1
303,Biddy,,41246.22,Lang LLC,1
304,Nels,40,24716.59,Smitham-Graham,0
305,Kasper,,30333.23,"Gibson, Hilpert and Feeney",0
306,Alfie,57,,Moen-Rice,0
307,Neila,59,25778.73,Koss LLC,1
308,Erik,,32882.89,Koss-Waelchi,0
309,Karrie,,,Barton LLC,1
310,Valentine,27,18883.56,Rutherford-Ritchie,0
311,Natala,38,13197.81,Huels Inc,1
312,Gertrud,68,45305.34,Sporer-Walker,1
313,Greggory,47,25351.88,Dare-Rempel,0
314,Ado,,,"Kuhic, Jaskolski and Lemke",0
315,Gilly,,44525.07,"Cartwright, Ratke and Bode",1
316,Welch,,13987.77,Price and Sons,0
317,Theresa,47,32982.01,"Koelpin, Cronin and Halvorson",1
318,Blakeley,65,22841.1,"Maggio, Crona and Schaefer",1
319,Tobit,36,,Gulgowski Inc,
320,Bebe,,,"Ritchie, Considine and Streich",1
321,Travers,,,"Osinski, Moore and Gutmann",0
322,Kristan,,20406.73,Johnston Inc,1
323,Clo,,,"Howell, Jakubowski and Howell",1
324,James,49,13062.16,"Sawayn, Zboncak and Ward",0
325,Arte,67,16834.88,"Pfannerstill, Doyle and Lockman",0
326,Carmon,,11713.16,Leffler and Sons,1
327,Mattheus,,,Hilll LLC,0
328,Crystal,26,,Gusikowski-Kautzer,1
329,Reid,45,,"Walter, Hessel and Legros",0
330,Neall,,42456.76,Gislason-Spinka,0
331,Daniela,,,Farrell Group,1
332,Sonny,55,,Kassulke-Thompson,1
333,Karina,52,21470.37,"Ullrich, Abshire and Wolff",1
334,Horst,20,,Bernier-Green,0
335,Chadd,39,,Will-Mante,0
336,Dora,,21627.26,McKenzie and Sons,1
337,Idalina,41,12834.94,Wisoky LLC,1
338,Ibby,25,,"Gerhold, Barton and Schowalter",1
339,Merissa,46,22477.05,Crooks Inc,1
340,Gillian,,42740.16,Barton Group,1
341,Alberik,33,,Torphy-Altenwerth,
342,Gianina,31,,"Rath, Graham and Hansen",1
343,Rosella,45,11644.55,Feeney and Sons,
344,Holmes,54,43915.99,"Ritchie, Franecki and Dach",0
345,Edyth,45,48326.45,Tromp Inc,1
346,Aristotle,22,,Kozey Inc,0
347,Monika,33,,Huels Group,
348,Emlyn,56,20679.43,Raynor LLC,0
349,Eula,,31105.57,Simonis Group,
350,Dalli,47,13858.52,"Crooks, Goyette and Lynch",0
351,Nelle,37,,"Schmitt, Feeney and Satterfield",
352,Nicolai,68,,"Effertz, Bartoletti and Wisozk",0
353,Mathian,,49417.22,Waelchi-Hudson,0
354,Lilian,,41376.57,Nolan and Sons,1
355,Tessi,,36133.11,Volkman-Kreiger,1
356,Faunie,,10014.3,Spencer LLC,1
357,Antonietta,67,27284.37,"Hudson, Mraz and Rosenbaum",1
358,Elwyn,21,,"Thiel, Jones and McLaughlin",0
359,Chrisse,,,"Ebert, Quitzon and McLaughlin",0
360,Lonnard,24,17808.87,"Bins, Mosciski and Bode",0
361,Emera,,30696.06,Hintz LLC,
362,Arleen,40,44378.88,"Wisoky, Sanford and Hayes",
363,Adolf,47,17533.36,"Bins, Jakubowski and Heller",0
364,Bendick,,40302.53,"Watsica, Cummerata and Goldner",0
365,Deloris,56,42201.86,"Kozey, Sanford and Cormier",
366,Fonz,65,18739,Runte LLC,0
367,Cullen,63,,Price-Ritchie,0
368,Munroe,,,Greenholt-Quigley,0
369,Kellia,,,Gleichner-Lang,
370,Torry,47,22049.84,Hermiston-Kris,0
371,Haley,,46862.59,Terry-Kerluke,0
372,Uta,30,,Harvey-Pfeffer,1
373,Sharia,38,26510.48,Lueilwitz Inc,1
374,Elberta,62,,Jaskolski LLC,1
375,Otha,,,"Feest, Hansen and Boyle",1
376,Verne,66,17244.11,McCullough-Quitzon,0
377,Kinna,,,"Wilkinson, Medhurst and Kilback",1
378,Flynn,,,Lang-Halvorson,0
379,Garvin,34,46369.8,"Kessler, Hackett and Beatty",0
380,Vicky,37,15467.71,"Murray, Berge and Hoppe",1
381,Angus,25,16657.96,"Kshlerin, Monahan and Morissette",
382,Joyce,36,,"Ledner, Kutch and Price",
383,Cortney,,,"Vandervort, Trantow and Trantow",1
384,Joelynn,40,,Waelchi-Stark,1
385,Shena,28,44457.29,Jacobi LLC,
386,Anjela,38,34082.86,"Stoltenberg, Brekke and Turner",1
387,Billy,,,"Huel, Bernhard and Greenholt",0
388,Cybil,58,48364.27,Gerlach Group,1
389,Gunar,60,10465.02,Ortiz-Schuppe,0
390,Cash,,,Terry-McGlynn,
391,Alene,54,36889.79,King-Koch,
392,Sibel,43,12638.99,Pagac-Cormier,1
393,Savina,,,Hayes Group,1
394,Ciro,33,,Lynch-Hegmann,
395,Jackson,37,11786.74,Schamberger Group,0
396,Ryann,22,23645.45,Rau Inc,
397,Waylan,39,24981.43,Paucek LLC,
398,Willie,,,"Roberts, Medhurst and Schowalter",0
399,Ollie,38,46194.76,Orn Inc,0
400,Luz,21,,Schaden and Sons,1
401,Trude,67,,Mante-Becker,1
402,Davey,40,49989.27,Bartoletti and Sons,
403,Fidelity,,,"Lind, Labadie and Pacocha",1
404,Becka,48,48423.77,Shanahan LLC,1
405,Travus,60,,Kuvalis-Brown,0
406,Christina,53,25585.33,"Marquardt, Ruecker and Heidenreich",1
407,Gregory,52,,"Cruickshank, Turcotte and Sawayn",0
408,Erina,29,36649.17,Brekke and Sons,1
409,Edmund,70,24808.04,Raynor and Sons,
410,Ellwood,,,"Fritsch, Ferry and Homenick",0
411,Ulises,,,"Cormier, Torp and Kuhlman",0
412,Thorstein,54,36218.46,Keebler LLC,0
413,Evyn,54,16051.39,Goodwin-Parisian,
414,Stefan,,,Predovic-Schimmel,0
415,Terra,51,13191.02,Cummerata-DuBuque,
416,Ferdinand,,18258.14,Schinner LLC,0
417,Linette,56,42675.58,Jaskolski and Sons,1
418,Jae,43,,Bogisich LLC,
419,Maxy,42,37609.9,Buckridge-Rowe,0
420,Mellisent,42,11784.87,Brown LLC,
421,Nadine,46,,"Cole, McGlynn and Hagenes",1
422,Clerc,,49892.93,Satterfield-Raynor,0
423,Eli,61,,"Brekke, Turner and Koepp",0
424,Ignaz,66,25318.38,Bosco Group,0
425,Tamra,,45061.48,"Littel, Leannon and Lesch",1
426,Fred,40,22987.73,"Brown, Roob and Mohr",0
427,Urson,28,,"Wisozk, Heaney and Ankunding",0
428,Catlin,31,,Stracke and Sons,1
429,Rutherford,,,Howell-O'Kon,
430,Sosanna,,14523.08,Jast Inc,1
431,Orelia,29,,O'Kon LLC,1
432,Harmonie,,,Sanford and Sons,1
433,Dick,41,49113.82,"Purdy, Hand and Jakubowski",0
434,Maximo,,15656.53,O'Hara LLC,0
435,Max,24,12137.64,Dietrich and Sons,1
436,Shandeigh,29,49200.62,"Jacobs, Green and Brown",1
437,Berri,,49175.46,Durgan and Sons,
438,Irving,46,,Kulas-Marquardt,
439,Thomasa,33,,"Wisoky, Schinner and Hodkiewicz",1
440,Gerhardine,41,,"Robel, Bashirian and Quigley",1
441,Vernice,36,42837.29,"Volkman, Lesch and Mayer",
442,Mella,,,Spinka-O'Connell,1
443,Norry,41,,D'Amore LLC,
444,Angelico,,,Watsica Group,
445,Margaretta,38,,Gislason and Sons,1
446,Jareb,48,41165.32,Berge-Herzog,0
447,Jocelyne,54,,"Lehner, Beahan and Sanford",1
448,Linc,61,42069.59,Franecki-Fadel,0
449,Claretta,,15334.94,Lakin and Sons,
450,Emilie,,,Spinka LLC,1
451,Leeann,45,32354.68,Toy LLC,1
452,Ivory,,,Hand Group,1
453,Ted,,24118.88,Wisoky-Heaney,
454,Ingamar,,30991.06,"Farrell, Grant and Larkin",0
455,Phillie,,,Bruen Group,1
456,Petronilla,35,45848,"Blick, Abbott and Upton",1
457,Ludovika,20,,"Hagenes, Mertz and Shanahan",1
458,Gwenny,24,11811.57,Sipes-Beier,1
459,Hamlen,36,49733.05,"Schroeder, Monahan and Wintheiser",0
460,Grover,,,Cormier LLC,0
461,Cathleen,,16136.68,Erdman Group,1
462,Lexy,70,,Terry-Bednar,1
463,Patience,61,39691.6,Steuber Inc,1
464,Killie,,,Legros Inc,0
465,Tobye,60,20493.11,Brown-Sipes,1
466,Haley,26,,Cronin and Sons,
467,Trescha,31,,Christiansen-Nicolas,1
468,Emmy,,,Langworth-Lehner,1
469,Jordan,,48442.36,Hoppe-Wuckert,
470,Mitchel,69,,Willms-Mayert,0
471,Helga,43,33961.42,Kuhn and Sons,
472,Morna,21,31013.48,Douglas LLC,1
473,Natividad,59,17590.72,Steuber LLC,
474,Demetrius,46,,Emmerich Group,0
475,Catriona,32,49170.74,Fay-Hackett,1
476,Demetris,,,O'Keefe-Blick,1
477,Zared,57,12028.56,Altenwerth LLC,0
478,Sergei,34,,"Marks, Lind and Prohaska",0
479,Ursala,25,,Turcotte Group,
480,Dillie,47,,Willms-Fritsch,
481,Tim,54,15867.46,Robel-Johnston,1
482,Elke,28,48168.73,"Feil, Parker and Macejkovic",1
483,Yasmin,,,Conn-Morissette,1
484,Giavani,44,,"Dietrich, Bins and Rolfson",0
485,Mahala,,,Kuhlman LLC,1
486,Heloise,66,,Lowe-Rolfson,1
487,Franny,41,14111.1,Howell-Glover,0
488,Netty,34,19026.26,Franecki-Mraz,1
489,Moore,40,15848.46,Kub-Blanda,0
490,Bella,26,,Deckow Group,1
491,Josias,40,24763.31,Batz-Cremin,0
492,Iseabal,68,,Satterfield LLC,1
493,Gherardo,,14500.71,Rutherford-Anderson,0
494,Gordy,,18191.25,Goldner Inc,0
495,Hildegaard,46,44977.35,Marquardt Inc,1
496,Henrie,59,,Greenfelder Group,1
497,Derek,24,45866.27,"Bahringer, McGlynn and Ward",0
498,Maryellen,37,14261.46,"Zulauf, Hirthe and Cremin",1
499,Kristofor,62,12389.54,Murphy-Borer,0
500,Deane,56,,Langosh-Keebler,1
